mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1754401683807373,0.03388314162931034,0.004115629196166992,0.0011459709120918238,0.01,"(16,)",0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.0001}",0.7325581395348837,0.7058823529411765,0.6588235294117647,0.6588235294117647,0.6235294117647059,0.675923392612859,0.03856157085748557,22
0.06283364295959473,0.025581429605153583,0.003859281539916992,0.000255435350171609,0.01,"(16, 8)",0.01,"{'alpha': 0.01, 'hidden_layer_sizes': (16, 8), 'learning_rate_init': 0.01}",0.9534883720930233,0.9529411764705882,0.8941176470588236,0.8823529411764706,0.9294117647058824,0.9224623803009576,0.029502725757757694,5
0.0799344539642334,0.016550337565767244,0.0046535968780517575,0.0016818983967427758,0.01,"(16, 8)",0.001,"{'alpha': 0.01, 'hidden_layer_sizes': (16, 8), 'learning_rate_init': 0.001}",0.9534883720930233,0.8823529411764706,0.8705882352941177,0.8823529411764706,0.8705882352941177,0.8918741450068399,0.031253158332504506,13
0.16783523559570312,0.06577626307431736,0.004517793655395508,0.0015794809479760634,0.01,"(16, 8)",0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': (16, 8), 'learning_rate_init': 0.0001}",0.7558139534883721,0.8352941176470589,0.5882352941176471,0.8705882352941177,0.7411764705882353,0.7582216142270862,0.09773240106504501,19
0.055060958862304686,0.011754203124530764,0.004529714584350586,0.0009468932707876996,0.01,"(32, 16)",0.01,"{'alpha': 0.01, 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.01}",0.9651162790697675,0.9529411764705882,0.9176470588235294,0.9294117647058824,0.9176470588235294,0.9365526675786594,0.01923694208422079,2
0.04661684036254883,0.007710555726197609,0.003822517395019531,0.0010592754149068805,0.01,"(32, 16)",0.001,"{'alpha': 0.01, 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.001}",0.627906976744186,0.6352941176470588,0.6235294117647059,0.6235294117647059,0.6235294117647059,0.6267578659370725,0.004592533025085026,25
0.05324788093566894,0.00409387208356479,0.0038294315338134764,0.0007151001347722763,0.01,"(32, 16)",0.0001,"{'alpha': 0.01, 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.0001}",0.5581395348837209,0.6352941176470588,0.611764705882353,0.6235294117647059,0.6235294117647059,0.610451436388509,0.027193695621613608,28
0.05992441177368164,0.008621501202364547,0.004224109649658203,0.0008291401229783023,0.1,"(8,)",0.01,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.01}",0.9302325581395349,0.8588235294117647,0.9176470588235294,0.9294117647058824,0.8941176470588236,0.9060465116279071,0.026973247679105892,10
0.03697500228881836,0.00319072596496021,0.002902698516845703,0.0004895896908054372,0.1,"(8,)",0.001,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.001}",0.37209302325581395,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.37559507523939806,0.0017510259917920656,31
0.032939910888671875,0.001520574581412253,0.0037111282348632813,0.0006254577523296883,0.1,"(8,)",0.0001,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.0001}",0.37209302325581395,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.37559507523939806,0.0017510259917920656,31
0.050014400482177736,0.006461945594112815,0.003628444671630859,0.0011514578391329901,0.1,"(16,)",0.01,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.01}",0.9651162790697675,0.9176470588235294,0.9176470588235294,0.9411764705882353,0.8823529411764706,0.9247879616963065,0.027559652973400062,4
